battery_id,battery_formula,working_ion,max_voltage_step,elements,nelements,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,stability_charge,stability_discharge,material_ids
mp-18997_Li,Li0-1MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.065671568,3.797607483,170.8728824,567.5334815,648.9081368,2155.269396,0.002636649,0,"[MPID(mp-26980), MPID(mp-18997), MPID(mp-1978995), MPID(mp-753779)]"
mp-504117_Li,Li0-14Mn9(P2O7)8,Li,1.390712605,"[Element Mn, Element P, Element O]",3,0.021789115,4.18821845,189.2031752,541.1178906,792.4242293,2266.319933,0.062496967,0.035777263,"[MPID(mp-504117), MPID(mp-540023), MPID(mp-705402)]"
mp-755377_Li,Li0-1Fe2O2F3,Li,0,"[Element Fe, Element O, Element F]",3,0.060874677,4.665271138,129.0859959,488.0799103,602.2211712,2277.025119,0.136362563,0.078303814,"[MPID(mp-755377), MPID(mp-756358), MPID(mp-1176729)]"
mp-778482_Li,Li4-5Mn2Co3O10,Li,0,"[Element Mn, Element Co, Element O]",3,0.034719503,2.359776373,55.67696544,250.2190513,131.3851876,590.4610055,0.051589655,0.064554178,"[MPID(mp-778482), MPID(mp-861490)]"
mp-768515_Li,Li0.33-0.5MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.005481869,3.432982923,29.1231988,99.44027416,99.97944417,341.3767631,0.019309323,0.027757921,"[MPID(mp-768571), MPID(mp-768515)]"
mp-1176712_Li,Li0-1Fe7O7F,Li,0,"[Element Fe, Element O, Element F]",3,0.031786558,3.125666943,50.6787763,224.8287011,158.4049758,702.7396389,0.104092673,0.066012919,"[MPID(mp-1178254), MPID(mp-1176712)]"
mp-25831_Li,Li0.5-1MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.021160382,3.977259838,85.43644119,254.0348633,339.8029263,1010.362659,0.070129749,0.051158178,"[MPID(mp-753476), MPID(mp-25831)]"
mp-753423_Li,Li0.5-1MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.003575539,4.163795528,85.43644119,244.8010373,355.7398718,1019.301464,0.082646303,0.049456714,"[MPID(mp-753423), MPID(mp-857355)]"
mp-756779_Li,Li0-0.25Fe2O3F,Li,0,"[Element Fe, Element O, Element F]",3,0.049227718,16.12365561,37.13724345,159.6825965,598.7881238,2574.667193,0.644216032,0.146987715,"[MPID(mp-756779), MPID(mp-1236324), MPID(mp-1235242), MPID(mp-1235254), MPID(mp-1235812)]"
mp-759192_Li,Li0-0.12FeOF,Li,0,"[Element Fe, Element O, Element F]",3,0.03634878,3.636648303,36.5300349,155.1034605,132.8468895,564.0567363,0.130718294,0.127502026,"[MPID(mp-759192), MPID(mp-1235661), MPID(mp-1236701)]"
mp-768389_Li,Li0.33-0.5MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.011400847,3.779383003,29.1231988,98.87543181,110.0677226,373.6881264,0.025567652,0.024973728,"[MPID(mp-1176727), MPID(mp-768389)]"
mp-766455_Li,Li0.5-1MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.011741268,4.577928088,85.43644119,241.5805758,391.1218839,1105.938504,0.073163895,0.011070724,"[MPID(mp-766455), MPID(mp-857356)]"
mp-754278_Li,Li0-0.5Fe3(OF2)2,Li,0,"[Element Fe, Element O, Element F]",3,0.039100878,2.570995223,48.03168754,199.010966,123.4892392,511.656243,0.079657759,0.132501756,"[MPID(mp-754278), MPID(mp-1235528), MPID(mp-1235135), MPID(mp-1235306), MPID(mp-1235426), MPID(mp-1235542), MPID(mp-1236036)]"
mp-753155_Li,Li0-0.5Fe4O7F,Li,0,"[Element Fe, Element O, Element F]",3,0.0373858,3.170032603,37.44848101,167.3922597,118.7129058,530.6389208,0.140792135,0.181845694,"[MPID(mp-753155), MPID(mp-1235421), MPID(mp-1235197), MPID(mp-1235280), MPID(mp-1235424)]"
mp-753410_Li,Li0-1Fe3OF5,Li,0,"[Element Fe, Element O, Element F]",3,0.062268436,2.315727533,93.88630591,376.4221083,217.4151036,871.6910404,0.043771022,0.100980263,"[MPID(mp-779913), MPID(mp-753410)]"
mp-554804_Li,Li0.5-1.75MnP2O7,Li,0.819648725,"[Element Mn, Element P, Element O]",3,0.052116983,4.803112876,138.9956142,408.4092223,667.6116242,1961.635595,0.097221177,0.007303686,"[MPID(mp-849633), MPID(mp-1176663), MPID(mp-1177698), MPID(mp-1177074), MPID(mp-1177764), MPID(mp-1177785), MPID(mp-1177888), MPID(mp-777776), MPID(mp-849621), MPID(mp-849626), MPID(mp-849717), MPID(mp-849756), MPID(mp-1176685), MPID(mp-1176710), MPID(mp-1176713), MPID(mp-1176822), MPID(mp-776469), MPID(mp-849605), MPID(mp-849674), MPID(mp-849692), MPID(mp-849721), MPID(mp-849723), MPID(mp-1177128), MPID(mp-1177149), MPID(mp-1177157), MPID(mp-1177173), MPID(mp-1177392), MPID(mp-1177416), MPID(mp-849607), MPID(mp-849659), MPID(mp-849726), MPID(mp-1177664), MPID(mp-753725), MPID(mp-849644), MPID(mp-849650), MPID(mp-849655), MPID(mp-849745), MPID(mp-849996), MPID(mp-1176907), MPID(mp-1176910), MPID(mp-1176911), MPID(mp-1176940), MPID(mp-1176957), MPID(mp-1177028), MPID(mp-1177043), MPID(mp-1177127), MPID(mp-849679), MPID(mp-849806), MPID(mp-554804)]"
mp-752847_Li,Li1-4Fe3(OF3)2,Li,0,"[Element Fe, Element O, Element F]",3,0.010184229,3.149515882,235.591031,835.3001532,741.9976938,2630.791098,0.100388729,0.071481445,"[MPID(mp-756353), MPID(mp-752847)]"
mp-807122_Li,Li0-1Fe7(OF3)3,Li,0,"[Element Fe, Element O, Element F]",3,0.001271611,-1.042651347,43.4496605,183.4487873,-45.30284703,-191.2731251,1.516613448,1.62393952,"[MPID(mp-807827), MPID(mp-807122)]"
mp-752488_Li,Li2-3FeOF3,Li,0,"[Element Fe, Element O, Element F]",3,0.004548814,2.571466801,179.0793386,582.8050141,460.496574,1498.663745,0.073206602,0.096460904,"[MPID(mp-755818), MPID(mp-752488)]"
mp-1342745_Li,Li0-3Fe5OF11,Li,0,"[Element Fe, Element O, Element F]",3,0.020976123,3.662172167,153.1426179,566.9472136,560.8346328,2076.258306,0.696677464,0.544810146,"[MPID(mp-1346391), MPID(mp-1342745)]"
mp-26819_Li,Li0-1MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.036658776,4.318775326,170.8728824,478.4812746,737.9615882,2066.453123,0.103258167,0.011794466,"[MPID(mp-26820), MPID(mp-861056), MPID(mp-753872), MPID(mp-26819)]"
mp-585279_Li,Li0-1MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.034677408,3.197402791,170.8728824,478.1600557,546.349431,1528.870297,0.11948259,0.185897191,"[MPID(mp-705467), MPID(mp-585279)]"
mp-756302_Li,Li0-3Mn(CoO2)4,Li,0,"[Element Mn, Element Co, Element O]",3,0.106793836,3.300755983,182.9498323,896.5825115,603.8727537,2959.400089,0.066463996,0.05868856,"[MPID(mp-757157), MPID(mp-756302), MPID(mp-773238)]"
mp-754332_Li,Li0-1Fe7(OF3)3,Li,0,"[Element Fe, Element O, Element F]",3,0.001271341,3.197354023,43.4496605,183.4487581,138.9239468,586.5506247,0.095711464,0.062082367,"[MPID(mp-781010), MPID(mp-754332)]"
mp-757759_Li,Li0.5-1MnPO5,Li,0,"[Element Mn, Element P, Element O]",3,0.004456465,4.633391458,77.52823567,266.3879601,359.2186649,1234.279699,0.055605461,0.031124594,"[MPID(mp-766128), MPID(mp-1180529), MPID(mp-757759), MPID(mp-757764)]"
mp-754295_Li,Li3-4FeOF4,Li,0,"[Element Fe, Element O, Element F]",3,0.014602451,2.750019168,152.6262753,480.4714176,419.7251826,1321.305608,0.066005669,0.067473967,"[MPID(mp-754295), MPID(mp-754592)]"
mp-1332209_Li,Li0-3Fe5OF11,Li,0,"[Element Fe, Element O, Element F]",3,0.04124588,1.9156629,153.1426179,569.7594852,293.3696315,1091.467108,0.956387272,1.027539873,"[MPID(mp-1332209), MPID(mp-1376805)]"
mp-768444_Li,Li0-0.67MnPO4,Li,0.74345108,"[Element Mn, Element P, Element O]",3,0.0365157,3.613919271,115.6207518,393.4581754,417.844063,1421.926082,0.024829922,0.039133762,"[MPID(mp-768444), MPID(mp-768446), MPID(mp-768460), MPID(mp-778864), MPID(mp-768447), MPID(mp-768470)]"
mp-26284_Li,Li0-1MnPO4,Li,0.195285827,"[Element Mn, Element P, Element O]",3,0.057215736,4.546071957,170.8728824,551.9516253,776.8004187,2509.211805,0.155618313,0.024203645,"[MPID(mp-26284), MPID(mp-1176666), MPID(mp-31940)]"
mp-768477_Li,Li0.33-0.5MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.004289563,3.527632823,29.1231988,99.4256349,102.735952,350.7371332,0.017936669,0.023993543,"[MPID(mp-1176664), MPID(mp-768497), MPID(mp-768493), MPID(mp-768477), MPID(mp-768495), MPID(mp-777568)]"
mp-780891_Li,Li0-0.5Fe4O7F,Li,0,"[Element Fe, Element O, Element F]",3,0.038886691,3.579382033,37.44848101,166.5857897,134.0424201,596.2741827,0.141718214,0.166360752,"[MPID(mp-780891), MPID(mp-1235069), MPID(mp-1235046), MPID(mp-1235289), MPID(mp-1235835), MPID(mp-1236508)]"
mp-764977_Li,Li2-3FeOF3,Li,0,"[Element Fe, Element O, Element F]",3,0.011568896,2.668171378,179.0793386,586.6874665,477.8143658,1565.382706,0.091604998,0.100471429,"[MPID(mp-764977), MPID(mp-777299)]"
mp-778257_Li,Li0-3Fe5OF11,Li,0,"[Element Fe, Element O, Element F]",3,0.041245615,3.12959503,153.1426179,569.7594573,479.2743758,1783.116366,0.085264528,0.104995721,"[MPID(mp-1178251), MPID(mp-778257)]"
mp-754593_Li,Li0-5Fe7O3F13,Li,0,"[Element Fe, Element O, Element F]",3,0.006460194,3.522053267,185.9670851,658.8472664,654.9859796,2320.495167,0.138523667,0.052791516,"[MPID(mp-754593), MPID(mp-780457)]"
mp-768541_Li,Li0.33-0.5MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.008550908,3.584467748,29.1231988,99.17098879,104.3911668,355.4752109,0.01911231,0.023681734,"[MPID(mp-768541), MPID(mp-1176722)]"
mp-777279_Li,Li4-5FeOF5,Li,0,"[Element Fe, Element O, Element F]",3,0.013618406,2.754838701,132.982499,397.0787347,366.3453347,1093.887866,0.09979302,0.097799362,"[MPID(mp-779064), MPID(mp-777279)]"
mp-1174049_Li,Li2-5Mn2CoO8,Li,0,"[Element Mn, Element Co, Element O]",3,0.003641945,3.942484643,242.540401,954.4741627,956.2118064,3762.999729,0.126261189,0.048163483,"[MPID(mp-1222848), MPID(mp-1174049)]"
mp-1235941_Li,Li0-1TiO2,Li,0,"[Element Ti, Element O]",2,0.407571986,1.524724563,308.7486366,1155.31548,470.7566301,1761.537891,0.151793354,0.085763531,"[MPID(mp-1426806), MPID(mp-1235941)]"
mp-22417_Li,Li0-1NiPO4,Li,0.108680055,"[Element Ni, Element P, Element O]",3,0.035713323,4.954485296,166.877457,625.7455222,826.791907,3100.246989,0.107223382,0,"[MPID(mp-504165), MPID(mp-753843), MPID(mp-22417), MPID(mp-1665344), MPID(mp-757970), MPID(mp-763217)]"
mp-26927_Li,Li0-1Mn2P3O10,Li,0,"[Element Mn, Element P, Element O]",3,0.041920812,4.432370943,72.48886731,189.7073277,321.2975492,840.853247,0.080089244,0.044288271,"[MPID(mp-697794), MPID(mp-26927)]"
mp-768721_Li,Li3-4MnV(PO4)3,Li,0,"[Element Mn, Element V, Element P, Element O]",4,0.034656159,3.334381403,64.03295308,182.2597458,213.5102879,607.7235069,0.044416591,0.0361203,"[MPID(mp-777816), MPID(mp-768721)]"
mp-1101295_Li,Li0-0.5Ti2O3,Li,0,"[Element Ti, Element O]",2,0.021761472,1.207762823,91.03596994,390.8256482,109.9498601,472.0246883,0.096422179,0.097941862,"[MPID(mp-1101295), MPID(mp-1236151)]"
mp-26345_Li,Li0-1NiP2O7,Li,0,"[Element Ni, Element P, Element O]",3,0.052031615,5.362300478,111.8696709,361.8744622,599.8787899,1940.479602,0.167408634,0.065663814,"[MPID(mp-32334), MPID(mp-26345)]"
mp-753084_Li,Li0.2-1MnO2,Li,1.619796446,"[Element Mn, Element O]",2,0.069642813,3.215432392,228.3945154,935.9565944,734.387123,3009.505151,0.089629696,0.049811869,"[MPID(mp-759136), MPID(mp-762514), MPID(mp-753084), MPID(mp-780186), MPID(mp-756475), MPID(mp-753105)]"
mp-26081_Li,Li3-4Mn(PO4)2,Li,0,"[Element Mn, Element P, Element O]",3,0.023543212,4.041787503,98.30183518,256.1619574,397.315129,1035.352198,0.030164154,0.010621524,"[MPID(mp-881278), MPID(mp-26081), MPID(mp-760997)]"
mp-754420_Li,Li7-8FeO5F,Li,0,"[Element Fe, Element O, Element F]",3,0.036634235,2.987245803,127.4025982,328.2578523,380.5828768,980.5868917,0.077933637,0.065885225,"[MPID(mp-754420), MPID(mp-755400)]"
mp-752830_Li,Li2-3FeOF3,Li,0,"[Element Fe, Element O, Element F]",3,0.008495005,2.668538583,179.0793386,592.2874667,477.8801246,1580.541957,0.084822927,0.094491216,"[MPID(mp-752830), MPID(mp-887364), MPID(mp-775153)]"
mp-759777_Li,Li0-2Mn(CoO3)2,Li,0,"[Element Mn, Element Co, Element O]",3,0.110889097,3.494019236,189.6222751,782.7236336,662.5438766,2734.851432,0.022491294,0.109803824,"[MPID(mp-759777), MPID(mp-1177992)]"
mp-754705_Li,Li0-2Fe4OF8,Li,0,"[Element Fe, Element O, Element F]",3,0.061667073,3.590762196,132.2717929,501.6219001,474.9565536,1801.204956,0.119271572,0.056960186,"[MPID(mp-754705), MPID(mp-849951)]"
mp-752633_Li,Li0-2Mn2CoO6,Li,0.547176353,"[Element Mn, Element Co, Element O]",3,0.107360369,3.925563678,192.3406206,773.9843323,755.0453542,3038.324782,0.132325241,0.075873064,"[MPID(mp-752633), MPID(mp-1235264), MPID(mp-754926), MPID(mp-1235243)]"
mp-26061_Li,Li0-5Mn2(PO4)3,Li,0.774183295,"[Element Mn, Element P, Element O]",3,0.201325566,4.017643297,312.0114339,866.5029148,1253.550646,3481.299628,0.046424453,0.050329882,"[MPID(mp-26062), MPID(mp-26061), MPID(mp-759308), MPID(mp-760033), MPID(mp-772945), MPID(mp-768651), MPID(mp-26846), MPID(mp-697792), MPID(mp-1356909), MPID(mp-1358850), MPID(mp-774345), MPID(mp-26601), MPID(mp-32024), MPID(mp-780607), MPID(mp-764125), MPID(mp-768628)]"
mp-772144_Li,Li0-4Mn5V(PO4)6,Li,0,"[Element Mn, Element V, Element P, Element O]",4,0.066603824,3.325250496,116.1212626,367.9159711,386.132286,1223.412765,0.03818303,0.082690453,"[MPID(mp-772144), MPID(mp-775798)]"
mp-26143_Li,Li0-3Mn3(PO4)4,Li,0,"[Element Mn, Element P, Element O]",3,0.105673145,5.32896786,142.1772461,423.2535545,757.6579747,2255.504589,0.140110215,0.003355405,"[MPID(mp-26144), MPID(mp-26143), MPID(mp-1244727)]"
mp-26275_Li,Li1-5Ni2(PO4)3,Li,0.925125212,"[Element Ni, Element P, Element O]",3,0.039881622,4.741626327,245.3191776,751.8214427,1163.211871,3564.856346,0.163844963,0.045435833,"[MPID(mp-540199), MPID(mp-26275), MPID(mp-761038), MPID(mp-772620)]"
mp-755266_Li,Li4-5Ti3O8,Li,0,"[Element Ti, Element O]",2,0.004148561,1.927368303,87.50041183,302.1963081,168.6455203,582.4435856,0.060599696,0.022438787,"[MPID(mp-755266), MPID(mp-756645), MPID(mp-758836)]"
mp-753513_Li,Li1-3Mn(PO4)2,Li,0.329006788,"[Element Mn, Element P, Element O]",3,0.029425151,4.595243855,201.7395632,613.1518142,927.0424879,2817.582106,0.082473658,0.018687214,"[MPID(mp-754179), MPID(mp-766444), MPID(mp-753513)]"
mp-759661_Li,Li6-8FeO5F,Li,0.218708965,"[Element Fe, Element O, Element F]",3,0.049603341,3.291826878,254.8051964,592.2330907,838.7745942,1949.528806,0.100378222,0.042400142,"[MPID(mp-764903), MPID(mp-759661), MPID(mp-776549)]"
mp-757477_Li,Li0-4MnV3(PO4)4,Li,0,"[Element Mn, Element V, Element P, Element O]",4,0.053549474,2.769210096,174.2018774,574.496884,482.4015977,1590.902571,0.032651506,0.005918405,"[MPID(mp-775134), MPID(mp-757477)]"
mp-26039_Li,Li1-5Mn2(PO4)3,Li,0.835586161,"[Element Mn, Element P, Element O]",3,0.194957345,3.908273409,249.6091471,728.6522488,975.5407924,2847.772208,0.015853571,0.030695239,"[MPID(mp-26118), MPID(mp-1177925), MPID(mp-26039), MPID(mp-849398), MPID(mp-26040), MPID(mp-759018), MPID(mp-776243), MPID(mp-766527), MPID(mp-759126), MPID(mp-1244614), MPID(mp-31969), MPID(mp-758937), MPID(mp-758956), MPID(mp-773057), MPID(mp-760127), MPID(mp-779625), MPID(mp-778881), MPID(mp-780484)]"
mp-753188_Li,Li0-4Mn2Co5O12,Li,0,"[Element Mn, Element Co, Element O]",3,0.0905112,3.59768858,171.72212,828.4376786,617.8027098,2980.460775,0.09114688,0.077671266,"[MPID(mp-757022), MPID(mp-774397), MPID(mp-753188)]"
mp-26437_Li,Li1-5Ni2(PO4)3,Li,0.376833529,"[Element Ni, Element P, Element O]",3,0.029515199,4.667069361,245.3191776,768.7030664,1144.921618,3587.590529,0.139700268,0.039236895,"[MPID(mp-26438), MPID(mp-504271), MPID(mp-1178182), MPID(mp-777338), MPID(mp-1177557), MPID(mp-26437), MPID(mp-849437)]"
mp-761633_Li,Li0-3Mn(CoO3)2,Li,0.303129813,"[Element Mn, Element Co, Element O]",3,0.094337089,3.33804975,277.616804,1203.828525,926.6987032,4018.439506,0.022993469,0.07897061,"[MPID(mp-763057), MPID(mp-777381), MPID(mp-761633), MPID(mp-1173931)]"
mp-755875_Li,Li0-1Ti3O4,Li,0,"[Element Ti, Element O]",2,0.028374961,1.088049963,124.9255669,591.6581394,135.9252584,643.7536169,0.057754789,0.066529323,"[MPID(mp-755875), MPID(mp-1235293), MPID(mp-1235399), MPID(mp-867744)]"
mp-25417_Li,Li0-1TiO2,Li,0.33878835,"[Element Ti, Element O]",2,0.026268884,1.782461443,308.7486366,1205.537694,550.3325404,2148.824457,0.152592348,0.021928556,"[MPID(mp-25433), MPID(mp-760539), MPID(mp-25417)]"
mp-1840_Li,Li0-0.75TiO2,Li,0.036016834,"[Element Ti, Element O]",2,0.061690256,1.266085765,236.284761,949.6903902,299.1567724,1202.389484,0.020198567,0.065507965,"[MPID(mp-1840), MPID(mp-1235333), MPID(mp-1222595), MPID(mp-1232993)]"
mp-763965_Li,Li0-1V2(OF)3,Li,0,"[Element V, Element O, Element F]",3,0.000914685,3.35661197,125.3475159,428.7715848,420.7429722,1439.219834,0.016743445,0.08896858,"[MPID(mp-763965), MPID(mp-777289)]"
